# k_value  z_plot  Normalized_Delta  Gamma
1.000000000000000021e-03 9.090909090909100598e-01 6.335516794556231845e-01 5.474827582222167033e-01
1.000000000000000021e-03 8.080808080808079552e-01 6.634833026032057601e-01 5.477967470154632146e-01
1.000000000000000021e-03 7.070707070707076269e-01 6.958250447296541186e-01 5.481743340144923371e-01
1.000000000000000021e-03 6.060606060606055223e-01 7.307601435219186481e-01 5.486295701156255200e-01
1.000000000000000021e-03 5.050505050505051940e-01 7.684547270443021771e-01 5.491802210067049383e-01
1.000000000000000021e-03 4.040404040404048658e-01 8.090392451444320399e-01 5.498510441808068805e-01
1.000000000000000021e-03 3.030303030303027612e-01 8.525832353491216153e-01 5.506691703022899009e-01
1.000000000000000021e-03 2.020202020202024329e-01 8.990615567714047573e-01 5.516719750522071086e-01
1.000000000000000021e-03 1.010101010101003283e-01 9.483142391733434540e-01 5.529020409712237516e-01
1.000000000000000021e-03 0.000000000000000000e+00 1.000000000000000000e+00 5.544137638435358006e-01
1.200000000000000025e-02 1.000000000000000000e+01 1.155632327075828553e-01 5.450418364137693539e-01
1.200000000000000025e-02 9.898989898989899672e+00 1.166332468498790242e-01 5.452714567393638356e-01
1.200000000000000025e-02 9.797979797979797567e+00 1.177232568328725332e-01 5.451986878991490482e-01
1.200000000000000025e-02 9.696969696969697239e+00 1.188338191811034866e-01 5.450130322816808537e-01
1.200000000000000025e-02 9.595959595959595134e+00 1.199655103969305137e-01 5.448969541194725874e-01
1.200000000000000025e-02 9.494949494949494806e+00 1.211189268381851897e-01 5.450325758661022091e-01
1.200000000000000025e-02 9.393939393939394478e+00 1.222947200708252857e-01 5.450592379700216483e-01
1.200000000000000025e-02 9.292929292929292373e+00 1.234935462146406759e-01 5.449933627414779158e-01
1.200000000000000025e-02 9.191919191919192045e+00 1.247160836878526968e-01 5.449047868775118708e-01
1.200000000000000025e-02 9.090909090909091717e+00 1.259630240459473638e-01 5.450391723393108734e-01
1.200000000000000025e-02 8.989898989898989612e+00 1.272351297366045297e-01 5.450281567950788775e-01
1.200000000000000025e-02 8.888888888888889284e+00 1.285331679303998997e-01 5.449068968689535497e-01
1.200000000000000025e-02 8.787878787878787179e+00 1.298579231830189196e-01 5.448857875144121898e-01
1.200000000000000025e-02 8.686868686868686851e+00 1.312102212261713197e-01 5.450261031245462462e-01
1.200000000000000025e-02 8.585858585858586522e+00 1.325909546463303335e-01 5.450134499457189863e-01
1.200000000000000025e-02 8.484848484848484418e+00 1.340010258977504254e-01 5.448835125872402152e-01
1.200000000000000025e-02 8.383838383838384090e+00 1.354413501391612817e-01 5.449417030783151317e-01
1.200000000000000025e-02 8.282828282828283761e+00 1.369129186783185070e-01 5.450630996662907402e-01
1.200000000000000025e-02 8.181818181818181657e+00 1.384167822510576351e-01 5.450000290246304058e-01
1.200000000000000025e-02 8.080808080808081328e+00 1.399540089496305872e-01 5.448191879142518790e-01
1.200000000000000025e-02 7.979797979797979224e+00 1.415256783777372740e-01 5.448973195002245751e-01
1.200000000000000025e-02 7.878787878787878896e+00 1.431329850994861319e-01 5.449799671030474135e-01
1.200000000000000025e-02 7.777777777777777679e+00 1.447771744941628302e-01 5.448983607927376793e-01
1.200000000000000025e-02 7.676767676767676463e+00 1.464595198332480641e-01 5.447353436594870590e-01
1.200000000000000025e-02 7.575757575757576134e+00 1.481813091570939878e-01 5.448750689426360427e-01
1.200000000000000025e-02 7.474747474747474918e+00 1.499439887913392999e-01 5.449499113772238168e-01
1.200000000000000025e-02 7.373737373737373701e+00 1.517490457996414632e-01 5.448595359846511998e-01
1.200000000000000025e-02 7.272727272727273373e+00 1.535979947717867333e-01 5.448074394551684074e-01
1.200000000000000025e-02 7.171717171717171269e+00 1.554924377066257135e-01 5.448698632241332218e-01
1.200000000000000025e-02 7.070707070707070940e+00 1.574341027806076543e-01 5.448366527636945289e-01
1.200000000000000025e-02 6.969696969696969724e+00 1.594247589499635520e-01 5.447922088994251455e-01
1.200000000000000025e-02 6.868686868686868507e+00 1.614662576515633330e-01 5.448396068789246316e-01
1.200000000000000025e-02 6.767676767676768179e+00 1.635606017821505387e-01 5.447950172114381928e-01
1.200000000000000025e-02 6.666666666666666075e+00 1.657098444321356556e-01 5.447661482291754620e-01
1.200000000000000025e-02 6.565656565656565746e+00 1.679161460281000107e-01 5.448212289286354926e-01
1.200000000000000025e-02 6.464646464646464530e+00 1.701818405307002346e-01 5.447775953594755638e-01
1.200000000000000025e-02 6.363636363636363313e+00 1.725093256365076433e-01 5.447428536822903622e-01
1.200000000000000025e-02 6.262626262626262985e+00 1.749011371132272175e-01 5.447739358940459908e-01
1.200000000000000025e-02 6.161616161616161769e+00 1.773600135770581065e-01 5.447117079288095187e-01
1.200000000000000025e-02 6.060606060606060552e+00 1.798887622313715406e-01 5.447076922122652265e-01
1.200000000000000025e-02 5.959595959595959336e+00 1.824903896778378165e-01 5.447389131450889321e-01
1.200000000000000025e-02 5.858585858585859008e+00 1.851681263192335170e-01 5.446566469222757778e-01
1.200000000000000025e-02 5.757575757575757791e+00 1.879252779742206780e-01 5.446696145342049267e-01
1.200000000000000025e-02 5.656565656565656575e+00 1.907654375437310423e-01 5.446982195879994659e-01
1.200000000000000025e-02 5.555555555555555358e+00 1.936924275179732757e-01 5.446425560747278904e-01
1.200000000000000025e-02 5.454545454545455030e+00 1.967102023987067905e-01 5.446548611574837384e-01
1.200000000000000025e-02 5.353535353535353813e+00 1.998230748987703531e-01 5.446171194917427405e-01
1.200000000000000025e-02 5.252525252525252597e+00 2.030355598290705110e-01 5.445949418861470992e-01
1.200000000000000025e-02 5.151515151515151381e+00 2.063524886849107953e-01 5.445804206471893671e-01
1.200000000000000025e-02 5.050505050505050164e+00 2.097790120509652190e-01 5.445495766572771013e-01
1.200000000000000025e-02 4.949494949494949836e+00 2.133205809045756463e-01 5.445510579896912784e-01
1.200000000000000025e-02 4.848484848484848619e+00 2.169830955602221612e-01 5.445051526702373579e-01
1.200000000000000025e-02 4.747474747474747403e+00 2.207727293170802241e-01 5.445203294341153244e-01
1.200000000000000025e-02 4.646464646464646187e+00 2.246962515805214500e-01 5.444616637495849343e-01
1.200000000000000025e-02 4.545454545454545858e+00 2.287607200607970626e-01 5.444741355279884010e-01
1.200000000000000025e-02 4.444444444444444642e+00 2.329738765173142712e-01 5.444413059723842707e-01
1.200000000000000025e-02 4.343434343434343425e+00 2.373439013618937887e-01 5.444168955280480615e-01
1.200000000000000025e-02 4.242424242424242209e+00 2.418796317082068936e-01 5.443992197160404389e-01
1.200000000000000025e-02 4.141414141414141881e+00 2.465905773534234624e-01 5.443734231730772422e-01
1.200000000000000025e-02 4.040404040404040664e+00 2.514869443199130861e-01 5.443427600732410054e-01
1.200000000000000025e-02 3.939393939393939448e+00 2.565797591181853132e-01 5.443162915658291690e-01
1.200000000000000025e-02 3.838383838383838231e+00 2.618809417495558955e-01 5.442792844088758519e-01
1.200000000000000025e-02 3.737373737373737903e+00 2.674032980407384796e-01 5.442613403179156206e-01
1.200000000000000025e-02 3.636363636363636687e+00 2.731608242391853070e-01 5.442182992754220905e-01
1.200000000000000025e-02 3.535353535353535470e+00 2.791685097584018505e-01 5.441996666482741274e-01
1.200000000000000025e-02 3.434343434343434254e+00 2.854428233164651996e-01 5.441571032855911927e-01
1.200000000000000025e-02 3.333333333333333037e+00 2.920014799616418300e-01 5.441297261839856958e-01
